name,random_intercept,random_slope,total_intercept,total_slope
Player55968,8.816004178948004,14.033012809353414,8.787551981173827,14.129561063395437
Player45810,5.967699801796639,10.549558696415955,5.939247604022462,10.646106950457979
Player39406,3.7751537576625935,6.400539117136068,3.7467015598884164,6.4970873711780905
Player43980,3.43950667686653,5.931355841374078,3.411054479092353,6.0279040954161
Player57308,3.4816758814777473,5.878422639225552,3.45322368370357,5.9749708932675745
Player39378,3.3760145522355396,5.22028529480321,3.3475623544613624,5.316833548845232
Player16923,2.4870668529226436,4.827601396313804,2.4586146551484664,4.924149650355826
Player53062,2.3534607695203347,3.8624287194568248,2.3250085717461575,3.958976973498847
Player15245,2.100518819366984,3.6408910630923237,2.072066621592807,3.737439317134346
Player10731,1.631480547882688,3.042547568511315,1.6030283501085107,3.139095822553337
